X,Y,OBJECTID,DATE,latitude,longitude,CD1____KM_,CD2____KM_,CD3____KM_,CD4____KM_,WD1__G_KM_,WD2__G_KM_,WD3__G_KM_,WD4__G_KM_,SEA_STATE_,SOURCE,INFO,CD4
-25.9,-27.88,63,19/11/2010,-27.88,-25.9,1514.11,3677.13,216.3,0,0.22,32.01,11.03,0,5,M. Eriksen,SAG10-28,0
-24.98,-28.58,64,20/11/2010,-28.58,-24.98,268.07,3216.87,804.22,0,0.03,21.71,143.42,0,6,M. Eriksen,SAG10-29,0
-24.61,-29.52,65,21/11/2010,-29.52,-24.61,545.08,2725.4,0,0,0.05,47.69,0,0,6,M. Eriksen,SAG10-30,0
-23.48,-29.97,66,23/11/2010,-29.97,-23.48,1054.99,7121.21,527.5,0,0.21,54.33,41.67,0,5,M. Eriksen,SAG10-31,0
-22.67,-30.66,67,23/11/2010,-30.66,-22.67,0,2725.4,817.62,0,0,34.07,73.04,0,5,M. Eriksen,SAG10-32,0
-21.73,-31.25,68,24/11/2010,-31.25,-21.73,3270.48,11298.03,1189.27,0,0.24,60.56,111.49,0,4,M. Eriksen,SAG10-33,0
-20.75,-31.87,69,24/11/2010,-31.87,-20.75,837.73,1809.49,368.6,0,0.18,11.03,12.57,0,4,M. Eriksen,SAG10-34,0
-19.95,-32.59,70,24/11/2010,-32.59,-19.95,4769.45,37474.29,4769.45,0,1.36,271.59,334,0,2,M. Eriksen,SAG10-35,0
-19.1,-33.49,71,25/11/2010,-33.49,-19.1,8687.22,38325.98,4088.1,0,0.72,328.63,134.91,0,2,M. Eriksen,SAG10-36,0
-18.19,-34.04,72,25/11/2010,-34.04,-18.19,817.62,45377.96,817.62,0,0.49,292.79,9.81,0,2,M. Eriksen,SAG10-37,0
-17.19,-34.6,73,26/11/2010,-34.6,-17.19,116236.4,146897.18,17847.32,0,296.54,507.05,139.12,0,2,M. Eriksen,SAG10-38,0
-15.98,-34.33,74,26/11/2010,-34.33,-15.98,11290.95,71249.82,4672.12,0,2.88,358.47,137.36,0,2,M. Eriksen,SAG10-39,0
-14.79,-34.07,75,27/11/2010,-34.07,-14.79,13462.04,91462.67,3167.54,0,4.91,371.95,38.6,0,2,M. Eriksen,SAG10-40,0
-13.71,-33.57,76,27/11/2010,-33.57,-13.71,24543.49,53600.73,5360.07,0,4.23,160.24,26.8,0,2,M. Eriksen,SAG10-41,0
-12.49,-33.26,77,27/11/2010,-33.26,-12.49,6813.51,19532.05,4996.57,0,1.14,39.15,334.09,0,2,M. Eriksen,SAG10-42,0
-11.37,-32.9,78,27/11/2010,-32.9,-11.37,36419.37,95534.88,527.82,0,7.92,368.94,16.89,0,2,M. Eriksen,SAG10-43,0
-10.2,-32.61,79,28/11/2010,-32.61,-10.2,123897.43,51918.92,37759.22,0,21.24,106.2,118,0,2,M. Eriksen,SAG10-44,0
-9.21,-32.33,80,28/11/2010,-32.33,-9.21,74613.49,113930.77,15637.56,0,19.97,329.95,1398.94,0,1,M. Eriksen,SAG10-45,0
-8.08,-31.64,81,29/11/2010,-31.64,-8.08,49086.98,107718.66,10908.22,0,11.93,794.46,37.43,0,1,M. Eriksen,SAG10-46,0
-6.99,-31.93,82,29/11/2010,-31.93,-6.99,1855.89,14847.09,8042.17,0,0.19,31.49,184.97,0,1,M. Eriksen,SAG10-47,0
-5.95,-32.28,83,30/11/2010,-32.28,-5.95,65449.31,58904.38,11453.63,0,8.48,65.6,289.61,0,2,M. Eriksen,SAG10-48,0
-4.85,-32.62,84,30/11/2010,-32.62,-4.85,0,55189.41,3406.75,0,0,110.58,83.19,0,2,M. Eriksen,SAG10-49,0
-3.68,-32.84,85,30/11/2010,-32.84,-3.68,1635.24,3815.56,8721.29,0,0.38,20.6,94.63,0,2,M. Eriksen,SAG10-50,0
-2.43,-33.04,86,1/12/10,-33.04,-2.43,47450.75,83993.28,6544.93,0,7.53,292.72,19.63,0,2,M. Eriksen,SAG10-51,0
-1.27,-33.22,87,2/12/10,-33.22,-1.27,3270.48,57233.46,8176.21,0,0.65,341.44,17.33,0,3,M. Eriksen,SAG10-52,0
0.08,-33.42,88,2/12/10,-33.42,0.08,32704.83,138995.54,24528.63,0,6.7,566.12,288.37,0,2,M. Eriksen,SAG10-53,0
1.08,-33.62,89,2/12/10,-33.62,1.08,1090.16,8721.29,4905.73,0,0.22,8.07,25.89,0,1,M. Eriksen,SAG10-54,0
2.26,-33.82,90,3/12/10,-33.82,2.26,29434.35,63229.35,8721.29,0,5.01,257.88,63.28,0,1,M. Eriksen,SAG10-55,0
3.46,-34.03,91,3/12/10,-34.03,3.46,1635.24,15262.26,0,0,1.64,97.02,0,0,3,M. Eriksen,SAG10-56,0
4.86,-34.16,92,4/12/10,-34.16,4.86,0,13030.83,3066.08,0,0,157.06,91.83,0,4,M. Eriksen,SAG10-57,0
6.25,-34.36,93,4/12/10,-34.36,6.25,19089.38,59995.2,2727.05,0,5.32,259.07,35.45,0,4,M. Eriksen,SAG10-58,0
7.11,-34.31,94,5/12/10,-34.31,7.11,0,17442.58,0,0,0,101.49,0,0,3,M. Eriksen,SAG10-59,0
9.78,-34.02,95,5/12/10,-34.02,9.78,2180.32,4360.64,0,0,0.87,34.99,0,0,3,M. Eriksen,SAG10-60,0
11.4,-33.78,96,6/12/10,-33.78,11.4,54508.06,80275.5,8919.5,0,12.78,903.35,125.86,0,4,M. Eriksen,SAG10-61,0
-5.95,-17.72,97,15/01/2011,-17.72,-5.95,0,8657.16,1923.81,0,0,8.18,1.92,0,3,M. Eriksen,SAG11-1,0
-5.97,-19.18,98,15/01/2011,-19.18,-5.97,1923.81,961.91,480.95,0,0.96,3.37,2.4,0,3,M. Eriksen,SAG11-2,0
-6,-20.88,99,16/01/2011,-20.88,-6,0,3692.48,263.75,0,0,17.41,44.31,0,3,M. Eriksen,SAG11-3,0
-6.19,-22.54,100,17/01/2011,-22.54,-6.19,2336.06,11346.57,1001.17,0,0.33,81.06,73.09,0,1,M. Eriksen,SAG11-4,0
-6.33,-23.85,101,17/01/2011,-23.85,-6.33,9386.58,8645.54,0,0,2.22,16.06,0,0,1,M. Eriksen,SAG11-5,0
-7.27,-24.38,102,17/01/2011,-24.38,-7.27,19798.89,28598.4,2566.52,0,2.57,107.43,34.83,0,0,M. Eriksen,SAG11-6,0
-8.2,-24.91,103,18/01/2011,-24.91,-8.2,25126.88,33502.51,1994.2,0,4.39,108.88,264.83,0,0,M. Eriksen,SAG11-7,0
-9.23,-25.38,104,18/01/2011,-25.38,-9.23,35430.24,34651.55,10122.92,0,8.57,41.66,52.56,0,2,M. Eriksen,SAG11-8,0
-10.28,-25.82,105,18/01/2011,-25.82,-10.28,204626.19,245286.25,30937,0,34.03,380.97,236.45,0,1,M. Eriksen,SAG11-9,0
-11.29,-26.29,106,19/01/2011,-26.29,-11.29,45604.35,42021.15,2605.96,0,5.54,57.33,17.59,0,2,M. Eriksen,SAG11-10,0
-12.26,-26.84,107,19/01/2011,-26.84,-12.26,18937.54,34568.53,3607.15,0,5.41,101.9,76.95,0,2,M. Eriksen,SAG11-11,0
-13.27,-27.22,108,20/01/2011,-27.22,-13.27,5946.33,17839,495.53,0,1.49,77.8,41.62,0,3,M. Eriksen,SAG11-12,0
-14.3,-27.64,109,20/01/2011,-27.64,-14.3,88575.59,147823.48,17478.13,0,16.89,467.76,843.1,0,1,M. Eriksen,SAG11-13,0
-15.34,-28.03,110,20/01/2011,-28.03,-15.34,29236.14,45093.03,3964.22,0,5.45,279.48,229.92,0,1,M. Eriksen,SAG11-14,0
-16.39,-28.39,111,21/01/2011,-28.39,-16.39,17885.46,47268.7,4258.44,0,5.2,150.32,692,0,3,M. Eriksen,SAG11-15,0
-17.44,-28.83,112,21/01/2011,-28.83,-17.44,70126.71,73585.88,13207.72,0,12.26,227.68,120.44,0,3,M. Eriksen,SAG11-16,0
-18.51,-29.12,113,22/01/2011,-29.12,-18.51,22192.57,41757.06,3504.09,0,5.26,234.77,145.71,0,2,M. Eriksen,SAG11-17,0
-19.57,-29.51,114,22/01/2011,-29.51,-19.57,31239.29,63249.91,7713.4,0,8.41,214.43,40.11,0,2,M. Eriksen,SAG11-18,0
-20.71,-29.95,115,22/01/2011,-29.95,-20.71,21597.53,65178.27,5785.05,0,5.4,281.92,366,0,2,M. Eriksen,SAG11-19,0
-21.83,-30.28,116,23/01/2011,-30.28,-21.83,51047.23,63160.13,7786.87,0,9.08,158.33,665.78,0,2,M. Eriksen,SAG11-20,0
-22.93,-30.57,117,23/01/2011,-30.57,-22.93,138304.02,119185.53,17491.39,0,21.15,292.88,163.93,0,1,M. Eriksen,SAG11-21,0
-24.06,-30.9,118,23/01/2011,-30.9,-24.06,211384.9,167844.93,43539.97,0,30.91,273.87,169.51,0,1,M. Eriksen,SAG11-22,0
-25.22,-31.14,119,24/01/2011,-31.14,-25.22,173744.43,193855.26,10549.95,0,21.43,287.49,60.99,0,2,M. Eriksen,SAG11-23,0
-26.32,-31.48,120,24/01/2011,-31.48,-26.32,24186.85,24186.85,2366.11,0,2.63,58.36,31.55,0,3,M. Eriksen,SAG11-24,0
-27.52,-31.66,121,25/01/2011,-31.66,-27.52,96946.47,84682.16,18396.47,0,13.72,307.16,101.62,0,2,M. Eriksen,SAG11-25,0
-28.69,-31.94,122,25/01/2011,-31.94,-28.69,47474.76,42199.79,0,0,8.44,88.14,0,0,1,M. Eriksen,SAG11-26,0
-29.71,-32.48,123,26/01/2011,-32.48,-29.71,82179.24,90939.46,21274.83,0,11.14,234.44,163.11,0,2,M. Eriksen,SAG11-27,0
-30.81,-32.83,124,26/01/2011,-32.83,-30.81,23506.6,30660.78,2725.4,0,3.75,65.07,209.52,0,3,M. Eriksen,SAG11-28,0
-32.05,-33.24,125,27/01/2011,-33.24,-32.05,26607.32,36030.75,1940.12,0,4.43,138.03,185.14,0,4,M. Eriksen,SAG11-29,0
-33.17,-33.45,126,27/01/2011,-33.45,-33.17,20849.33,29025.54,4496.91,0,3.03,87.89,150.85,0,4,M. Eriksen,SAG11-30,0
-34.34,-33.69,127,27/01/2011,-33.69,-34.34,7432.92,14542.66,323.17,0,0.97,80.15,17.13,0,5,M. Eriksen,SAG11-31,0
-35.5,-33.94,128,28/01/2011,-33.94,-35.5,545.08,2725.4,272.54,0,0.27,14.44,60.23,0,5,M. Eriksen,SAG11-32,0
-36.45,-34.68,129,29/01/2011,-34.68,-36.45,15609.13,52773.71,0,0,2.97,128.59,0,0,2,M. Eriksen,SAG11-33,0
-37.6,-34.77,130,29/01/2011,-34.77,-37.6,7472.88,11429.11,5274.97,0,1.32,66.82,143.74,0,3,M. Eriksen,SAG11-34,0
-38.82,-34.67,131,30/01/2011,-34.67,-38.82,38357.52,52993.94,10094.08,0,4.9,125.72,1090.16,0,2,M. Eriksen,SAG11-35,0
-40.08,-34.81,132,31/01/2011,-34.81,-40.08,90716.98,36208.92,9733.58,0,10.9,85.66,99.28,0,2,M. Eriksen,SAG11-36,0
-41.35,-34.87,133,31/01/2011,-34.87,-41.35,85525.19,177892.4,10263.02,0,10.26,370.84,51.32,0,3,M. Eriksen,SAG11-37,0
-42.57,-34.84,134,31/01/2011,-34.84,-42.57,3303.52,8809.38,1651.76,0,0.91,34.38,106.81,0,2,M. Eriksen,SAG11-38,0
-43.86,-34.91,135,1/2/11,-34.91,-43.86,4569.06,8176.21,1202.38,0,0.96,37.75,108.94,0,4,M. Eriksen,SAG11-39,0
-45.01,-35.08,136,1/2/11,-35.08,-45.01,29360.02,24528.63,3716.46,0,4.09,47.94,66.15,0,4,M. Eriksen,SAG11-40,0
-46.3,-34.94,137,2/2/11,-34.94,-46.3,6813.51,5791.48,1362.7,0,1.02,42.41,82.44,0,3,M. Eriksen,SAG11-41,0
-47.83,-35.15,138,2/2/11,-35.15,-47.83,16352.42,39129,2920.07,0,2.34,68.33,224.85,0,2,M. Eriksen,SAG11-42,0
-49.21,-34.72,139,3/2/11,-34.72,-49.21,4695.8,10220.26,828.67,0,1.08,61.32,36.19,0,2,M. Eriksen,SAG11-43,0
-133.87,37.2,140,16/09/2007,37.2,-133.87,15506.45,18552.36,1107.6,0,2.9,36.88,61.06,0,4,C. Moore,NPG07-M001,0
-133.95,37.18,141,16/09/2007,37.18,-133.95,32472.93,68218.32,14348.5,0,8.84,297.77,1158.28,0,4,C. Moore,NPG07-M002,0
-137.45,38.15,142,18/09/2007,38.15,-137.45,118621.69,97000.01,14282.21,0,13.69,88.07,3654.46,0,3,C. Moore,NPG07-M004,0
-141.77,38.69,143,20/09/2007,38.69,-141.77,17257.5,18881.74,2436.35,0,1.89,35.9,37.76,0,3,C. Moore,NPG07-M005,0
-142.03,38.69,144,20/09/2007,38.69,-142.03,5100.93,14353.77,1660.77,0,1.87,22.04,224.67,0,3,C. Moore,NPG07-M006,0
-142.27,38.64,145,20/09/2007,38.64,-142.27,9619.48,12488.45,928.2,0,1.96,21.26,14.43,0,3,C. Moore,NPG07-M007,0
-143.82,37.87,146,21/09/2007,37.87,-143.82,16235.81,255134.23,11597.01,0,3.71,500.3,361.83,0,4,C. Moore,NPG07-M008,0
-144.84,36.68,147,22/09/2007,36.68,-144.84,82044.72,391763.53,28202.87,0,31.23,788.09,12882.05,0,4,C. Moore,NPG07-M010,0
-145.04,36.51,148,22/09/2007,36.51,-145.04,20917.25,107991.36,7296.71,0,6.32,212.72,40.38,0,3,C. Moore,NPG07-M012,0
-146.96,32.55,149,24/09/2007,32.55,-146.96,22362.54,60773.5,7498.03,0,6.04,454.99,775.32,0,4,C. Moore,NPG07-M013,0
-147.3,32.52,150,24/09/2007,32.52,-147.3,13741.98,61151.82,17177.48,0,4.12,522.88,1100.73,0,4,C. Moore,NPG07-M015,0
-152.61,31.56,151,26/09/2007,31.56,-152.61,5382.34,29710.54,6028.23,0,1.46,411,4039.99,0,3.5,C. Moore,NPG07-M018,0
-153.52,29.45,152,27/09/2007,29.45,-153.52,2016.65,23527.53,5377.72,0,0.81,289.86,494.62,0,4,C. Moore,NPG07-M019,0
-155.66,18.89,153,10/11/07,18.89,-155.66,0,8386.43,0,0,0,61.48,82.57,0,4.5,C. Moore,NPG07-M020,0
-155.7,18.92,154,10/11/07,18.92,-155.7,418.09,1254.26,418.09,0,0.42,1.46,0.42,0,4,C. Moore,NPG07-M021,0
-155.72,18.95,155,10/11/07,18.95,-155.72,721.67,721.67,0,0,0.24,1.92,0,0,4.5,C. Moore,NPG07-M022,0
-155.98,18.16,156,10/11/07,18.16,-155.98,3741.2,1360.44,0,0,2.04,6.12,0,0,5,C. Moore,NPG07-M023,0
-155.18,19.24,157,11/11/07,19.24,-155.18,156.73,1097.09,156.73,0,0.31,3.45,3.76,0,3,C. Moore,NPG07-M024,0
-154.34,19.7,158,12/11/07,19.7,-154.34,221.59,2437.48,1107.94,0,0.22,10.41,25.26,0,3,C. Moore,NPG07-M025,0
-154.44,19.85,159,12/11/07,19.85,-154.44,617.13,2879.93,411.42,0,0.41,10.08,20.57,0,3,C. Moore,NPG07-M026,0
-154.69,19.92,160,12/11/07,19.92,-154.69,1768.14,4641.37,1547.12,0,1.11,28.75,121.56,0,3,C. Moore,NPG07-M027,0
-155.45,19.07,161,24/11/2007,19.07,-155.45,1590.78,3181.56,1590.78,0,0.68,11.82,38.86,0,3,C. Moore,NPG07-M028,0
-155.57,19.01,162,24/11/2007,19.01,-155.57,14048.46,35369.07,1983.31,0,2.5,128.89,31.4,0,4,C. Moore,NPG07-M029,0
-156.09,19.34,163,24/11/2007,19.34,-156.09,26247.9,24283.77,1785.57,0,5.07,26.74,572.1,0,2,C. Moore,NPG07-M030,0
-156,19.9,164,25/11/2007,19.9,-156,0,725.75,0,0,0,1.27,0,0,2,C. Moore,NPG07-M031,0
-156.05,19.29,165,21/01/2008,19.29,-156.05,5713.83,3713.99,0,0,2,3.14,0,0,3,C. Moore,NPG08-M032,0
-160.54,21.65,166,23/01/2008,21.65,-160.54,2149.08,4298.16,5730.88,0,0.72,66.62,10.75,0,4.5,C. Moore,NPG08-M033,0
-160.55,21.65,167,23/01/2008,21.65,-160.55,642.81,1285.61,0,0,1.93,2.05,0,0,4.5,C. Moore,NPG08-M034,0
-160.88,22.01,168,23/01/2008,22.01,-160.88,719.94,2639.79,959.92,0,0.6,23.16,20.64,0,4,C. Moore,NPG08-M035,0
-160.97,22.1,169,23/01/2008,22.1,-160.97,3428.3,20021.26,1371.32,0,1.65,130.69,59.1,0,3,C. Moore,NPG08-M036,0
-161.91,22.96,170,24/01/2008,22.96,-161.91,719.94,3839.69,359.97,0,0.36,49.44,561.8,0,3.5,C. Moore,NPG08-M037,0
-164.48,23.57,171,25/01/2008,23.57,-164.48,151.33,907.97,605.31,0,0.23,38.29,0.83,0,3.5,C. Moore,NPG08-M038,0
-165.41,30.12,172,27/01/2008,30.12,-165.41,11453.63,14609.22,2337.48,0,2.45,94.08,179.05,0,3,C. Moore,NPG08-M039,0
-165.43,30.99,173,27/01/2008,30.99,-165.43,4850.14,31374.33,2121.94,0,1.53,215.22,104.88,0,3,C. Moore,NPG08-M040,0
-165.4,32.01,174,28/01/2008,32.01,-165.4,709.11,18358.04,2994.01,0,0.1,136.78,378.66,0,2.3,C. Moore,NPG08-M041,0
-165.91,32.24,175,28/01/2008,32.24,-165.91,9360.95,32678.24,2042.39,0,1.74,206.83,1399.72,0,3,C. Moore,NPG08-M042,0
-167.59,33.03,176,29/01/2008,33.03,-167.59,29563.75,82555.38,2603.1,0,7.62,770.33,7080.98,0,2.5,C. Moore,NPG08-M043,0
-167.92,33.01,177,29/01/2012,33.01,-167.92,30557.56,45116.39,3519.72,0,5.12,202.86,1014.32,0,2.5,C. Moore,NPG08-M044,0
-168.14,33.01,178,29/01/2008,33.01,-168.14,14317.04,27526.21,5028.01,0,3.78,88.62,392.27,0,2.5,C. Moore,NPG08-M045,0
-170.07,32.84,179,30/01/2008,32.84,-170.07,15427.34,7999.36,1371.32,0,2.19,53.02,3126.72,0,3.5,C. Moore,NPG08-M046,0
